,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
0,2018-04-09 19:01:07+00:00,-0.5994,0.17,0.83,BBC,0.0,"In this five-part immersive living history series, the training programme of one of World War Two's most covert org… https://t.co/WMq4ME93CR",1
1,2018-04-09 18:04:06+00:00,-0.0772,0.064,0.936,BBC,0.0,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/bJp258jCaL",2
2,2018-04-09 17:02:07+00:00,0.7184,0.0,0.727,BBC,0.273,"Keep full and satisfied with these protein-filled, vegetarian dinners. 
Make double portions and save for lunch tom… https://t.co/yh3RGeC5i3",3
3,2018-04-09 16:43:45+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCScotland: The history behind #NationalUnicornDay 🦄

*may not be factually accurate* https://t.co/p44XmIXnoM",4
4,2018-04-09 16:34:07+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCTwo: Can you guess the city? #TheCityAndTheCity’s @davemorrissey64 and @MandiDhillon tried our game out for size… 🌆🏙🙃 https://t.co/U…,5
5,2018-04-09 16:26:04+00:00,0.0,0.0,1.0,BBC,0.0,"The latest episode of @TheSimpsons has addressed controversy surrounding Indian character Apu for the first time.
👉… https://t.co/guqD0Pf53R",6
6,2018-04-09 16:04:04+00:00,0.6239,0.0,0.494,BBC,0.506,🏃‍♀️❤️ What a brilliant idea! https://t.co/QUVCwBptOU,7
7,2018-04-09 15:42:30+00:00,0.4003,0.0,0.856,BBC,0.144,RT @BBCTheOneShow: Tonight on The One Show - @kylieminogue! 💗💗💗💗💗 RT: if you're excited. #TheOneShow #KylieMinogue #Kylie https://t.co/Yten…,8
8,2018-04-09 15:29:26+00:00,0.5411,0.0,0.811,BBC,0.189,"RT @BBCSport: What a way to save match point!

Table tennis is pure carnage.

#GC2018 #bbcgoldcoast https://t.co/1shVrSJuRn",9
9,2018-04-09 15:07:08+00:00,0.5267,0.0,0.793,BBC,0.207,"🐶❤️😽
Henry and Baloo: Dog and cat travel companions gain cult following.
👉 https://t.co/rTpxqa69Oq https://t.co/iRkQXMwnyv",10
10,2018-04-09 14:02:03+00:00,0.5267,0.0,0.855,BBC,0.145,"A new campaign is encouraging people to do CPR to the tune of @The_Proclaimers' hit 'I'm Gonna Be (500 miles)'.
👉… https://t.co/MULW1tgRPL",11
11,2018-04-09 13:01:05+00:00,0.4404,0.0,0.707,BBC,0.293,"How NOT to impress Madonna...
#TheGrahamNortonShow #TGNS https://t.co/NnYS15sU9p",12
12,2018-04-09 12:31:27+00:00,0.0,0.0,1.0,BBC,0.0,RT @bbccomedy: Philomena Cunk steps on board the first ship to circumcise the globe. #CunkOnBritain @missdianemorgan https://t.co/f1oHsolPHe,13
13,2018-04-09 12:28:16+00:00,0.0,0.0,1.0,BBC,0.0,"🌭🐶 Over 1,500 people turned up to this mass sausage dog walk in Manchester yesterday. https://t.co/6fscMy6eZ7",14
14,2018-04-09 12:14:30+00:00,0.34,0.0,0.888,BBC,0.112,"RT @bbcsoutheast: You don't have to be married to take part in ""wife-carrying"". Fancy giving it a go? #Dorking #wifecarrying #wifecarryingu…",15
15,2018-04-09 12:12:54+00:00,0.6705,0.0,0.792,BBC,0.208,"RT @BBCnireland: As the days get longer, here are some #TightShorts tips on creating that naturally flawless, 'don't get seen, blend into t…",16
16,2018-04-09 12:02:02+00:00,0.0,0.0,1.0,BBC,0.0,Flipping the script on dyslexia. https://t.co/rW1FLygX9V,17
17,2018-04-09 11:50:07+00:00,0.0,0.0,1.0,BBC,0.0,"RT @bbcthesocial: This is how homophobia feels in 2018.

#TimeForLove https://t.co/dHfsvt94Nz",18
18,2018-04-09 11:27:01+00:00,-0.2023,0.098,0.833,BBC,0.068,RT @BBCFOUR: How do you cope with stage fright when you're working at music's top level? Listen to the new #BBCYoungMusician podcast with @…,19
19,2018-04-09 11:16:03+00:00,0.6757,0.083,0.649,BBC,0.268,"Love hurts, but this is a step too far...

💍 People are getting finger piercings instead of engagement rings.
👉… https://t.co/eargluPvnC",20
20,2018-04-09 10:41:24+00:00,0.0,0.0,1.0,BBC,0.0,"😴🐻 When the weather is so cold that you can't bear to get up. 
#MondayMorning https://t.co/JhfqRhL5fQ",21
21,2018-04-09 08:56:59+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCTwo: Every Saga must come to an end... #TheBridge https://t.co/YNyeMUM8A2,22
22,2018-04-09 08:40:53+00:00,-0.3252,0.109,0.891,BBC,0.0,"RT @BBCRadio4: ""If a £100 coat is half price, and you buy it, you haven't saved £50 you've spent £50.""
https://t.co/yKrYlW9jf6",23
23,2018-04-09 08:01:01+00:00,0.0,0.0,1.0,BBC,0.0,"😲🚂 Hop onboard the train that (somehow) squeezes through a crowded market near Bangkok, eight times a day! https://t.co/htvLHtJdPH",24
24,2018-04-09 07:27:04+00:00,-0.3182,0.103,0.897,BBC,0.0,"The story of why the Roman Baths developed, how they were lost for many centuries and how they were rediscovered.… https://t.co/zEzPchOgPO",25
25,2018-04-09 07:00:14+00:00,0.0,0.0,1.0,BBC,0.0,🏥 How can #3DPrinting be of use in surgery? https://t.co/3LQkXMMHwo,26
26,2018-04-08 19:02:05+00:00,0.0,0.0,1.0,BBC,0.0,"😺💦 This is Maya the jaguar's very first swim!  
#BigCatsAboutTheHouse https://t.co/IacZP3ltf3",27
27,2018-04-08 18:03:03+00:00,0.4939,0.0,0.686,BBC,0.314,😂 Need a hand getting the kids to bed? https://t.co/JAUkyoVSA8,28
28,2018-04-08 17:25:08+00:00,0.25,0.088,0.765,BBC,0.147,"'Silencing masks' and 'wife auctions': What life used to be like for women. 
👉 https://t.co/7Z1bcXKgOx https://t.co/gzm7Hf3loH",29
29,2018-04-08 17:07:02+00:00,0.0,0.0,1.0,BBC,0.0,"🦖😂 Philomena Cunk examines the barbaric conditions in which we keep today's dinosaurs.
#CunkOnBritain  https://t.co/nBav5dqh7a",30
30,2018-04-08 16:40:55+00:00,0.0,0.0,1.0,BBC,0.0,"RT @bbcgetinspired: Meet Sue...

She is planning to run the 2018 @LondonMarathon to prove someone with vascular dementia can do it. 🙌

➡ ht…",31
31,2018-04-08 16:07:03+00:00,-0.2263,0.106,0.894,BBC,0.0,🎨 Victoria Lomasko is a Russian graphic artist who's travelled up and down her country painting 'forgotten women'. https://t.co/XtlpBlAYb0,32
32,2018-04-08 15:31:00+00:00,0.0,0.0,1.0,BBC,0.0,"🎶 The search for the next Young Musician has begun, and the first @BBCYoungMus semi-finalist of 2018 has been confi… https://t.co/klUA4GWtb0",33
33,2018-04-08 15:11:04+00:00,0.0,0.0,1.0,BBC,0.0,"'If boys are getting diagnosed with autism, girls need exactly the same.' https://t.co/f7Aft0LWwB",34
34,2018-04-08 13:54:07+00:00,-0.2023,0.189,0.811,BBC,0.0,💃🕺 Meet the kids cutting some serious shapes on the streets of Lagos. https://t.co/3ySZPqua01,35
35,2018-04-08 13:23:39+00:00,0.875,0.0,0.607,BBC,0.393,"RT @BBCSport: What a nice surprise 😍💍

Two of @TeamEngland 's basketball players got engaged on court at the Commonwealths. 

Congrats @Jam…",36
36,2018-04-08 13:03:04+00:00,0.2732,0.0,0.488,BBC,0.512,😂 'Surprise me'. https://t.co/Jo7illTafh,37
37,2018-04-08 11:00:15+00:00,-0.0772,0.064,0.936,BBC,0.0,"When doctors found a large tumour on little Poppy’s brain, her parents faced one of the toughest decisions of their… https://t.co/MGM0dpxlFH",38
38,2018-04-08 10:15:06+00:00,0.5859,0.0,0.787,BBC,0.213,"RT @BBCSport: Beauty queen ✅
Commonwealth Games weightlifting silver medallist ✅

Introducing Sarah Davies...

#GC2018 #bbcgoldcoast https:…",39
39,2018-04-08 10:01:07+00:00,0.3818,0.0,0.88,BBC,0.12,"From Ordeal by Innocence to the return of The Handmaid’s Tale, here are @BBC_Culture's pick of programmes to watch… https://t.co/Q6S34uv5LX",40
40,2018-04-08 09:08:02+00:00,0.0,0.0,1.0,BBC,0.0,"🦍💬 Not only can Koko the gorilla use sign language, she also appears to have learnt to lie...

https://t.co/xXZwlLDLJh",41
41,2018-04-08 08:17:18+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCOne: .@johnkrasinski's got MOVES. #TheGrahamNortonShow #TGNS https://t.co/2HUMM0ixEW,42
42,2018-04-08 08:08:07+00:00,0.6369,0.0,0.792,BBC,0.208,"Football, volleyball AND martial arts? ️⚽️🥋🤔

Sepak Takraw is the best sport you've never heard of... 

https://t.co/ngTwJHEmrI",43
43,2018-04-08 07:02:06+00:00,0.3612,0.0,0.783,BBC,0.217,🐳 Meet the gargantuan air freighter that looks like a whale. https://t.co/7DPUt8okKU,44
44,2018-04-07 18:00:22+00:00,0.5719,0.0,0.748,BBC,0.252,❤️🎶 @NiallOfficial's Live Lounge cover of @JuliaMichaels' Issues is just perfect.  https://t.co/XpsnR29hPU,45
45,2018-04-07 17:19:26+00:00,0.0,0.0,1.0,BBC,0.0,"RT @CBeebiesHQ: Goodnight @ChrisEvans,🌙 

Chris reads Goodnight Goodnight Construction site tonight. 🏗️ 

#BedtimeStory is at 6:50pm 😴💤 htt…",46
46,2018-04-07 17:04:03+00:00,-0.7269,0.405,0.523,BBC,0.072,🦁😢 Lions are often poisoned to prevent them attacking livestock. https://t.co/254nhtlMW5,47
